part_name,occurrences
30236_001_B01_1_CLAM_CLIP__AMN__DROID__P2,1
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_1,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_2,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_3,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_4,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_5,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_6,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_7,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_8,2
30275_001_C02_1_SPIN_BOSS_WITH_M2_5_THREADED_INSERT__DROID__P2_9,2
30327_002_E01_1_TUB__BATTERY__DROID__P2,1
30329_000_C01_1_CHILL_BOARD__PCB__BRAIN__DROID__P2,43
30330_000_D01_1_CHILL_BOARD__PCBA__BRAIN__DROID__P2,1139
30331_001_C01_1_CHIL_BOARD__COATED__BRAIN__DROID__P2,1160
30356_000_A01_1_M2__INSERT__3_96MM_LONG,1
30356_000_A01_1_M2__INSERT__3_96MM_LONG_1,1
30356_000_A01_1_M2__INSERT__3_96MM_LONG_2,1
30356_000_A01_1_M2__INSERT__3_96MM_LONG_3,1
30362_000_A01_1_M1_6__INSERT__3MM_LONG,1
30362_000_A01_1_M1_6__INSERT__3MM_LONG_1,1
30460_001_A01_1_STEREO_LENS__BRAIN__DROID__P2,3
30460_001_A01_1_STEREO_LENS__BRAIN__DROID__P2_1,3
30598_002_D01_1_MAIN_MOTOR_MOUNT__DROID__P2,17
30601_000_B01_1_BARE_FLEX__LID_FLEX_HARNESS__DROID__P2,1
30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2,10
30606_001_C01_1_LID_FOAM__DROID__P2,1
30607_003_E01_1_LID_STRUCTURE__LID_STRUCTURE_ASSY__DROID__P2,7
30613_001_B02_1_LID_LINER__LID_LINER_ASSY__DROID__P2,1
30625_000_B01_1_MAIN_THRUSTER_BUSBAR_TERMINATION_PCB__DROID__P2,4
30627_000_A03_1_TAPE__SUPER_CAPS__FRONT_MOTOR_NODE__DROID__P2,1
30669_001_B01_1_CARRIER__LID_FLEX_HARNESS__DROID__P2,1
30700_000_A01_1_LED_DIFFUSER__DROID__P2,1
30700_000_A01_1_LED_DIFFUSER__DROID__P2_1,1
30752_004_H01_1_BUSBAR__AMN_TO_REAR_LATERAL_THRUSTER__DROID__P2,14
30786_002_E02_1_CAP__MAIN_THRUSTER__DROID__P2,1
30820_001_C02_1_AFT_MOTOR_MOUNT__DROID__P2,10
30821_000_B01_1_AFT_MOTOR_MOUNT_CAP__DROID__P2,1
30834_000_A06_1_M2_5_X_2_0MM_KNURLED_COMPRESSION_LIMITER__MAIN_PROP__DROID__P2,1
30834_000_A06_1_M2_5_X_2_0MM_KNURLED_COMPRESSION_LIMITER__MAIN_PROP__DROID__P2_1,1
30834_000_A06_1_M2_5_X_2_0MM_KNURLED_COMPRESSION_LIMITER__MAIN_PROP__DROID__P2_2,1
30924_001_C01_1_TRANSVERSE_STIFFENER__CENTER_TUB__DROID__P2,1
30924_001_C01_1_TRANSVERSE_STIFFENER__CENTER_TUB__DROID__P2_1,1
31043_001_C01_1_BARE_FLEX__AFT_CHARGE_FLEX_HARNESS__DROID__P2,1
31044_002_D01_1_FLEX_PCBA__AFT_CHARGER_FLEX_HARNESS__DROID__P2,6
31045_002_E01_1_AFT_CHARGER_FLEX_HARNESS__DROID__P2,21
31091_001_C01_1_BARE_FLEX__CHARGER_HOTBAR_FLEX_HARNESS__DROID__P2,1
31092_001_C01_1_FLEX_PCBA__CHARGER_HOTBAR_FLEX_HARNESS__DROID__P2,3
31093_001_B02_1_CHARGER_HOTBAR_FLEX_HARNESS__DROID__P2,11
